"       ","                                   ","          ","         ","                   ","                            ","                        ","  ","                     "
"ITEM   ","WINE DESC                          ","          ","         "," PROD GRP          ","COUNTRY                     ","SUB REGION           CL ","CL","CLASS DESC           "
"00496  ","SUNQUICK RTD ORANGE                ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00497  ","SUNQUICK RTD RED FRUIT             ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00498  ","SUNQUICK RTD ORANGE                ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00499  ","SUNQUICK RTD MANGO                 ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00500  ","SUNQUICK RTD RED FRUIT             ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00501  ","SUNQUICK RTD APPLE                 ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00502  ","GREAT GINSENG & MINT               ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00503  ","GREAT GINSENG & LIME               ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00504  ","GREAT JUST GINGER (NATURAL)        ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00505  ","GREAT GINGER & LEMONGRASS          ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00506  ","SUNQUICK ICE LOLLIES MIX           ","1         ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
"00507  ","SB SUCCOSO FRUTTA MIX (PET)        ","1         ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"00508  ","SB SUCCOSO FRUTTI ROSSI (PET)      ","          ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"00509  ","SB SUCCOSO ARANCIA/CAROTA/LIMONE ( ","          ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"00510  ","SB SUCCOSO ARANCIA ROSSO (PET)     ","          ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"00511  ","SB PRIMA SPREMITURA SP CLEMENTINE  ","1         ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"00512  ","SB PRIMA SPREMITURA SP LEMON (CAN) ","1         ","         "," SOFT DRINK        ","ITALY VENETO                ","                     NA ","NA","NON ALC IMPORT       "
"ITEM   ","WINE DESC                          ","          ","         "," PROD GRP          ","COUNTRY                     ","SUB REGION           CL ","CL","CLASS DESC           "
"00513  ","SUNTOP ORANGE                      ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00514  ","SUNTOP TROPICAL                    ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00515  ","SUNTOP RED FRUIT                   ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00516  ","SUNTOP APPLE                       ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00517  ","SUNTOP PINEAPPLE                   ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00518  ","SUNQUICK ICE LOLLIES RASPBERRY     ","          ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
"00519  ","SB AMOR MIO LEMON                  ","1         ","         "," WATER             ","                            ","                     WT ","WT","WATER IMPORTED       "
"00520  ","SB AMOR MIO MANDARIN ORANGE        ","1         ","         "," WATER             ","                            ","                     WT ","WT","WATER IMPORTED       "
"00521  ","SUNQUICK ICE LOLLIES LEMON         ","1         ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
