"ITEM   ","WINE DESC                        ","BEER DESCR                        ","CU/ML BR ","CU/ML  ","U/C"," CASE UPC    "," BOTL UPC   ","      RETL UPC","SUB","SUB DESCRP     ","BRN","BRAND DESC    ","SP ","                "
"819728 ","93542 FOOD ATEL IER GROENE OLIJVE","93542 FOOD ATELIER GROENE OLIJVEN ","         ","       ","  1","000000000000 ","710296935420","08710296935420","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819729 ","FA KNAKWORST KI P                ","FA KNAKWORST KIP                  ","         ","       ","  1","000000000000 ","710296935840","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819732 ","94727 FA PINDA' S BLIK           ","94727 FA PINDA'S BLIK             ","         ","       ","  1","000000000000 ","710296947270","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819736 ","95600 MARSHMALL OWS GOUD         ","95600 MARSHMALLOWS GOUD           ","         ","       ","  1","000000000000 ","710296956005","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819737 ","MARSHMALLOWS R OOD               ","MARSHMALLOWS ROOD                 ","         ","       ","  1","000000000000 ","710296956012","08710296956012","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819740 ","FOOD ATELIER P ASTASAUS          ","FOOD ATELIER PASTASAUS            ","         ","       ","  1","000000000000 ","710296552078","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819744 ","FOOD ATELIER TE RIYAKI SAUS      ","FOOD ATELIER TERIYAKI SAUS        ","         ","       ","  1","000000000000 ","000000819744","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819749 ","FA GRKT TONIJN  CITROEN OREGANO  ","FA GRKT TONIJN CITROEN OREGANO    ","         ","       ","  1","000000000000 ","710296935604","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819750 ","FOOD ATELIER U IEN CHUTNEY       ","FOOD ATELIER UIEN CHUTNEY         ","         ","       ","  1","000000000000 ","710296112616","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819752 ","ITALIAN CLASSI CS CANTUCCINI     ","ITALIAN CLASSICS CANTUCCINI       ","         ","       ","  1","000000000000 ","710296450879","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819753 ","ITALIAN CLSC CR OCC OLIJFOLIE    ","ITALIAN CLSC CROCC OLIJFOLIE      ","         ","       ","  1","000000000000 ","710296906376","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819756 ","ITALIAN CLASSIC S PESTO SAUS     ","ITALIAN CLASSICS PESTO SAUS       ","         ","       ","  1","000000000000 ","710296935055","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819758 ","ITALIAN CLASSIC S OLIJFOLIE      ","ITALIAN CLASSICS OLIJFOLIE        ","         ","       ","  1","000000000000 ","710296935451","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819761 ","WESTERN KNAKWO RST KIP           ","WESTERN KNAKWORST KIP             ","         ","       ","  1","000000000000 ","710296935871","08710296935871","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819762 ","WESTERN GUACAM OLE               ","WESTERN GUACAMOLE                 ","         ","       ","  1","000000000000 ","710296553105","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819776 ","1564 CIAMBELLE  WITH BUTTER 200G ","1564 CIAMBELLE WITH BUTTER 200G   ","         ","       ","  1","000000000000 ","000350004644","08000350004644","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
